what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1428906711858
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1428906711858
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1428906711858
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1428906711858
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1428906711889
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1428906711889
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1428906711905
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1428906711905
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1428906711905
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1428906711936
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1428906711952
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1428906711968
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1428906711983
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1428906711983
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1428906712014
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1428906712014
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1428906712014
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1428906712030
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1428906712061
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1428906712077
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1428906712077
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1428906712077
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1428906712093
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1428906712108
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1428906712108
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1428906712108
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1428906712108
os,sysinfo,,,"win32",1428906712124
arch,sysinfo,,,"x86",1428906712124
ws,sysinfo,,,"win32",1428906712124
locale,sysinfo,,,"en_IN",1428906712124
processors,sysinfo,,,"4",1428906712124
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1428906712124
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1428906712124
java.specification.name,sysinfo,,,"Java Platform API Specification",1428906712124
java.specification.vendor,sysinfo,,,"Oracle Corporation",1428906712124
java.specification.version,sysinfo,,,"1.7",1428906712124
java.vendor,sysinfo,,,"Oracle Corporation",1428906712124
java.version,sysinfo,,,"1.7.0_25",1428906712124
java.vm.info,sysinfo,,,"mixed mode, sharing",1428906712124
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1428906712124
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1428906712124
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1428906712124
java.vm.specification.version,sysinfo,,,"1.7",1428906712124
java.vm.vendor,sysinfo,,,"Oracle Corporation",1428906712124
java.vm.version,sysinfo,,,"23.25-b01",1428906712124
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1428906712515
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1428906712561
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1428906712577
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1428906712686
